Cabinas,Tiempo Total,Tasa Llegada,Tasa Servicio,Tiempo promedio espera,Autos atendidos,Ocupación promedio (%)
2,300,0.25,0.333,0.5525099407008067,75,41.341167198671414
2,300,0.25,0.333,0.8145592320963478,78,41.164969007203254
2,300,0.25,0.333,1.11029427104543,83,49.02611474350867
2,300,0.25,0.333,0.39015312338344615,73,33.59675769696333
2,300,0.25,0.333,0.29978018911989823,75,35.95807630555446
2,300,0.25,0.333,0.35187279343825845,77,41.10510899861763
2,300,0.25,0.333,0.3895300433286213,75,35.51704081733081
2,300,0.25,0.333,0.6335655705923287,82,41.53581190379346
2,300,0.25,0.333,0.1414707294955994,72,32.96765054817766
2,300,0.25,0.333,0.7338279516690555,74,36.49402268909922
2,300,0.25,0.25,2.0543917272437566,60,42.83430043572979
2,300,0.25,0.25,0.7087362698433347,66,44.79548661422522
2,300,0.25,0.25,0.9545168795367192,74,39.19993453847003
2,300,0.25,0.25,2.247463499954059,78,50.4520266753014
2,300,0.25,0.25,0.9677484247260095,93,54.70941589732275
2,300,0.25,0.25,0.7736386816995036,67,42.16802096647235
2,300,0.25,0.25,1.6133835664695373,80,61.23842780994157
2,300,0.25,0.25,1.151960525684248,79,54.108529292663746
2,300,0.25,0.25,0.6588716714085869,69,48.211845645167706
2,300,0.25,0.25,1.3812403648061036,69,48.10891260440677
2,300,0.2,0.333,1.0409529263593558,74,40.94557199476401
2,300,0.2,0.333,0.0026077994953378823,55,27.224171543153467
2,300,0.2,0.333,0.11690501504414509,58,28.36524180732118
2,300,0.2,0.333,0.26386929064441106,72,37.94985832388315
2,300,0.2,0.333,0.07005204224021992,53,29.6732487189894
2,300,0.2,0.333,0.01386034059550667,73,32.611159535395274
2,300,0.2,0.333,0.05075977593241263,55,21.812329389503226
2,300,0.2,0.333,0.0196304780427295,50,23.073497515315225
2,300,0.2,0.333,0.09679164045056636,65,28.698537201051188
2,300,0.2,0.333,0.31968290139241484,60,24.832351019181665
2,300,0.2,0.25,0.43947451765377954,64,38.70857345248105
2,300,0.2,0.25,2.088539886029905,67,47.43803496090236
2,300,0.2,0.25,0.1686276699696321,52,33.17547014935226
2,300,0.2,0.25,0.2429871456090751,52,34.92760649334403
2,300,0.2,0.25,0.27952170922434844,64,43.3237808806715
2,300,0.2,0.25,1.114781717049481,65,47.704257940186864
2,300,0.2,0.25,0.07008017526569685,59,33.572242560356514
2,300,0.2,0.25,0.8999129425348978,55,41.86713290182176
2,300,0.2,0.25,0.19180378217875077,62,39.42350799125687
2,300,0.2,0.25,0.35645229502550335,61,40.4864992368296
2,500,0.25,0.333,0.33211436359418556,97,26.85370564281253
2,500,0.25,0.333,0.3154793773252752,122,37.72562196850028
2,500,0.25,0.333,0.36114772530881656,119,33.19641930792108
2,500,0.25,0.333,0.7364235694132826,131,42.157097727970175
2,500,0.25,0.333,0.520022133658782,121,41.28687650255854
2,500,0.25,0.333,0.6138216273626268,136,38.343502915173154
2,500,0.25,0.333,0.21725185060649102,131,37.50293942866077
2,500,0.25,0.333,0.2753333630228461,131,37.702405893980306
2,500,0.25,0.333,0.376512403672836,123,35.65083804946943
2,500,0.25,0.333,0.365584611556474,120,35.285786411483414
2,500,0.25,0.25,0.6898592456387359,131,54.96880461172661
2,500,0.25,0.25,0.6111591838204344,124,44.03427408891428
2,500,0.25,0.25,0.7307390532694594,126,46.66598632076898
2,500,0.25,0.25,2.165083506735581,127,49.02184050507988
2,500,0.25,0.25,0.790028977607636,122,52.16256681147494
2,500,0.25,0.25,0.8838823717813423,146,51.542412803945425
2,500,0.25,0.25,0.8202436807308876,115,46.04956024564876
2,500,0.25,0.25,0.7015947078661237,136,47.03159084317228
2,500,0.25,0.25,1.0946623880266892,111,41.53928077210412
2,500,0.25,0.25,2.2128552834016415,125,46.215353848830226
2,500,0.2,0.333,0.2254572193410073,93,25.548723119865166
2,500,0.2,0.333,0.06067473919659477,94,23.570039846159446
2,500,0.2,0.333,0.11118235857297722,99,28.124128185902475
2,500,0.2,0.333,0.3096787833281299,116,37.23789323296921
2,500,0.2,0.333,0.04020177497741149,88,19.639762226978803
2,500,0.2,0.333,0.5330990128236265,105,36.38688518210219
2,500,0.2,0.333,0.03623132184259194,85,26.418438330894762
2,500,0.2,0.333,0.2030885677105096,105,33.934295570537444
2,500,0.2,0.333,0.15790331534506316,82,21.842297387896597
2,500,0.2,0.333,0.6376229687577124,107,31.601504534146834
2,500,0.2,0.25,0.5259036736785607,90,39.406451770425356
2,500,0.2,0.25,0.506669274716283,110,37.9070861687447
2,500,0.2,0.25,0.8295048971519776,108,39.89508803232662
2,500,0.2,0.25,0.2550375325367516,99,34.20023992318767
2,500,0.2,0.25,0.4563733182866977,106,37.606986203547095
2,500,0.2,0.25,0.7173051567200206,93,37.22781409296862
2,500,0.2,0.25,1.11493657116363,109,43.30072353677697
2,500,0.2,0.25,0.4815870684569252,83,29.969585948684802
2,500,0.2,0.25,1.4690490733213457,87,42.40428626311397
2,500,0.2,0.25,1.819158587853462,95,50.42021707680759
3,300,0.25,0.333,0.0,61,20.193661105916004
3,300,0.25,0.333,0.02381830113654206,74,22.66229172912612
3,300,0.25,0.333,0.043307234019674505,79,24.04009290659549
3,300,0.25,0.333,0.0,56,17.018276946679993
3,300,0.25,0.333,0.003060419938623413,61,21.450795449433443
3,300,0.25,0.333,0.2435524591779965,69,23.916422046461076
3,300,0.25,0.333,0.04783923043666068,92,32.40087884234823
3,300,0.25,0.333,0.003461948574544381,76,24.601892931182636
3,300,0.25,0.333,0.005956480508525155,74,25.543836825963194
3,300,0.25,0.333,0.04712564617815442,73,24.843100477205827
3,300,0.25,0.25,0.048384291092542574,95,40.529835653243815
3,300,0.25,0.25,0.0,70,32.92901313875924
3,300,0.25,0.25,0.46686237472717335,83,37.205286493867305
3,300,0.25,0.25,0.0720615156788559,75,28.986540277411226
